Date,Territory,Cured,Deaths,Confirmed
2020-04-04,Delhi,7,2,226
2020-04-05,Delhi,3,1,58
2020-04-10,Delhi,4,4,229
2020-04-13,Delhi,2,5,85
2020-04-14,Delhi,3,4,356
2020-04-16,Delhi,12,2,17
2020-04-17,Delhi,9,6,62
2020-04-18,Delhi,21,4,67
2020-04-20,Delhi,218,2,110
2020-04-21,Delhi,141,2,78
2020-04-23,Delhi,113,1,92
2020-04-24,Delhi,84,2,128
2020-04-25,Delhi,49,3,138
2020-04-26,Delhi,12,1,111
2020-04-30,Delhi,14,2,125
2020-05-01,Delhi,2,3,76
2020-05-02,Delhi,73,2,223
2020-05-03,Delhi,89,3,384
2020-05-07,Delhi,74,1,428
2020-05-08,Delhi,389,1,448
2020-05-09,Delhi,89,2,338
2020-05-13,Delhi,383,13,406
2020-05-14,Delhi,346,20,359
2020-05-15,Delhi,187,9,472
2020-05-16,Delhi,473,8,425
2020-05-17,Delhi,408,6,438
2020-05-18,Delhi,559,31,721
2020-05-21,Delhi,442,8,534
2020-05-22,Delhi,375,18,571
2020-05-23,Delhi,330,14,660
2020-05-24,Delhi,370,23,591
2020-05-25,Delhi,273,30,508
2020-05-26,Delhi,231,15,635
2020-05-27,Delhi,452,12,412
2020-05-28,Delhi,41,15,792
2020-05-29,Delhi,231,13,1024
2020-05-30,Delhi,351,82,1105
2020-05-31,Delhi,229,18,1163
2020-06-01,Delhi,403,57,1295
2020-06-02,Delhi,268,50,990
2020-06-03,Delhi,497,33,1298
2020-06-04,Delhi,299,50,1513
